make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
20,299,2017,,99999999999,,VIII Biobío,8990000,1,0,,7
59,717,2023,2000,15500,Gris,Metropolitana de Santiago,21990000,0,1,0,1
61,750,2000,,200000,,V Valparaíso,1800000,0,0,,24
10,5882,2021,1500,50000,,Coquimbo,9300000,0,0,0,3
38,830,2017,3000,143000,,IV Coquimbo,10500000,1,0,,7
48,636,2023,1500,1590,,Región Metropolitana,14190000,1,0,0,1
47,1829,2018,1600,48500,,VIII Biobío,10500000,0,0,,6
49,654,2023,,99999999999,Azul,Metropolitana de Santiago,18290000,0,1,,1
10,5879,2021,1500,40000,,Metropolitana de Santiago,12890000,0,1,,3
61,748,2012,1000,137000,,VIII Biobío,3850000,0,0,,12
33,410,2019,,30000,,Valparaíso,6700000,0,0,,5
45,602,2021,2400,72000,,Bío Bío,13990000,1,0,0,3
6,118,2012,1600,145000,Blanco,Metropolitana de Santiago,9290000,0,1,0,12
10,5879,2023,,17,Plata,Ñuble,14990000,0,1,,1
17,1034,2021,2000,35000,,Región Metropolitana,8490000,0,0,,3
45,598,2004,2400,220000,,Valparaíso,5000000,0,1,1,20
55,698,2010,1600,130000,,Metropolitana de Santiago,4900000,0,0,0,14
60,725,2023,2500,7322,,Región Metropolitana,31500000,0,1,0,1
49,657,2023,1600,7200,,Metropolitana de Santiago,23500000,0,1,0,1
49,656,1999,1400,138000,,Valparaíso,2500000,0,0,0,25
11,176,2021,1500,68000,,Valparaíso,14500000,0,0,0,3
64,792,2021,2000,84000,Blanco,Los Ríos,15980000,1,0,1,3
47,1454,2019,2300,62000,,Metropolitana de Santiago,24600000,1,1,1,5
11,160,2013,2000,122400,,V Valparaíso,5590000,1,1,,11
40,475,2020,3200,144270,Gris,Maule,19490000,1,1,1,4
45,602,2018,0,170000,,X Los Lagos,16900000,1,0,,6
45,602,2020,2400,50000,,Araucanía,24490000,1,1,1,4
7,5904,2020,,51000,,Valparaíso,10000000,0,0,,4
63,760,2022,,17000,,IX Araucanía,21000000,0,0,,2
45,1635,2006,,72000,,IV Coquimbo,9600000,1,0,,18
52,687,2017,,31000,Marrón,Metropolitana de Santiago,7590000,0,0,,7
52,683,2017,2500,65000,,Metropolitana de Santiago,15490000,0,1,1,7
20,5964,2021,1500,28000,,XII Magallanes & Antártica,99999999999,0,1,0,3
59,1450,2019,1600,29300,,Metropolitana de Santiago,8500000,0,0,,5
33,395,2017,1600,79576,,Valparaíso,7490000,0,0,,7
52,684,2017,1500,160000,,Bío Bío,6000000,1,0,0,7
11,180,2008,1400,295441,,Región Metropolitana,3100000,0,0,,16
33,400,2021,,21000,,Metropolitana de Santiago,11180000,0,0,,3
202,5645,2021,3600,74500,,Valparaíso,36500000,0,1,1,3
64,792,2018,2000,129800,,Metropolitana de Santiago,13500000,1,0,1,6
40,470,2010,,188000,,IX Araucanía,6000000,0,1,,14
31,385,2015,2400,95000,,Metropolitana de Santiago,7000000,0,1,,9
11,144,2008,1600,135400,,Valparaíso,3750000,0,0,0,16
45,602,2021,2400,46000,,VIII Biobío,176000000,1,0,,3
64,777,2016,1600,90000,,Metropolitana de Santiago,7500000,0,0,0,8
49,810,2014,,150000,,IX Araucanía,6750000,1,0,,10
27,1691,2022,1200,17000,,Metropolitana de Santiago,10300000,0,0,0,2
27,353,2013,1600,82500,,Metropolitana de Santiago,6490000,0,0,0,11
29,1685,2019,1500,18000,,Metropolitana de Santiago,7800000,0,0,0,5
52,5600,2022,1600,29000,,Metropolitana de Santiago,13690000,0,0,0,2
47,1829,2018,1600,37820,,Metropolitana de Santiago,13500000,0,1,0,6
17,249,2019,2500,92000,,Metropolitana de Santiago,7750000,1,0,0,5
13,213,2018,,103000,,IX Araucanía,6650000,1,0,,6
40,470,2013,,128,,VII Maule,6950000,0,0,,11
20,284,2019,3200,88289,,Región Metropolitana,15200000,1,0,0,5
6,1362,2013,1600,130000,,Región Metropolitana,8550000,0,0,,11
6,123,2015,1500,127000,,Maule,13700000,0,1,,9
61,735,2011,1600,88000,,Los Lagos,5990000,0,1,,13
33,407,2014,1600,128000,,Región Metropolitana,6500000,0,0,,10
31,389,2015,3200,75000,Negro,Valparaíso,14980000,0,1,1,9
45,604,2006,2000,147670,,Metropolitana de Santiago,3600000,0,1,,18
20,293,2015,3700,139000,,Valparaíso,12500000,0,1,0,9
52,685,2016,1600,79000,Gris,Valparaíso,6990000,0,0,0,8
17,6167,2023,1500,9263,Blanco,Metropolitana de Santiago,16500000,0,1,0,1
31,381,2016,2400,125715,Blanco,Metropolitana de Santiago,10500000,0,1,1,8
49,6011,2022,,21275,,Metropolitana de Santiago,18990000,1,0,0,2
49,810,2017,1600,72000,,Metropolitana de Santiago,10350000,1,0,0,7
49,6011,2023,,7126,,Metropolitana de Santiago,26590000,0,1,1,1
6,1458,2018,2000,100000,,Metropolitana de Santiago,24000000,1,1,1,6
11,156,2021,5300,79781,,Región de La Araucanía,36190000,0,1,1,3
4,53,2021,,69300,,Metropolitana de Santiago,23990000,0,1,,3
